transaction_id,transaction_date,year,month,month_name,day,day_name,transaction_time,hour,time_of_day,transaction_qty,store_id,store_location,product_id,product_category,product_type,product_detail,unit_price,revenue,Day_classification
1,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:06:11.000Z,7,Morning,2,5,Lower Manhattan,32,Coffee,Gourmet brewed coffee,Ethiopia Rg,3,6,Weekend
2,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:08:56.000Z,7,Morning,2,5,Lower Manhattan,57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,6.2,Weekend
3,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:14:04.000Z,7,Morning,2,5,Lower Manhattan,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,9,Weekend
4,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:20:24.000Z,7,Morning,1,5,Lower Manhattan,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,2,Weekend
5,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:22:41.000Z,7,Morning,2,5,Lower Manhattan,57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,6.2,Weekend
6,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:22:41.000Z,7,Morning,1,5,Lower Manhattan,77,Bakery,Scone,Oatmeal Scone,3,3,Weekend
7,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:25:49.000Z,7,Morning,1,5,Lower Manhattan,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,2,Weekend
8,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:33:34.000Z,7,Morning,2,5,Lower Manhattan,28,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2,4,Weekend
9,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:39:13.000Z,7,Morning,1,5,Lower Manhattan,39,Coffee,Barista Espresso,Latte Rg,4.25,4.25,Weekend
10,2023-01-01,2023,1,Jan,1,Sun,2026-06-30T07:39:34.000Z,7,Morning,2,5,Lower Manhattan,58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,3.5,7,Weekend
